Дата	Домен	Загрузки	Показы	Сумма
2018-09-01	Не определен	141	9	1,08
2018-09-01	zen.yandex.com	33	11	1,12
2018-09-01	www.nn.ru	114	44	5,28
2018-09-01	www.google.ru	3	0	0,00
2018-09-01	www.google.com	2	0	0,00
2018-09-01	www.e1.ru	33168	14934	1790,08
2018-09-01	v1.ru	4126	1897	226,84
2018-09-01	ufa1.ru	1350	627	74,24
2018-09-01	transport.72.ru	1	0	0,00
2018-09-01	pogoda.72.ru	534	172	20,64
2018-09-01	ngs55.ru	810	336	38,12
2018-09-01	ngs24.ru	1997	952	113,14
2018-09-01	news.ngs.ru	17730	7469	890,18
2018-09-01	m.ok.ru	1	0	0,00
2018-09-01	doctor.59.ru	18	5	0,60
2018-09-01	doctor.161.ru	2	0	0,00
2018-09-01	diplom.161.ru	32	17	1,74
2018-09-01	dengi.v1.ru	3	0	0,00
2018-09-01	dengi.76.ru	3	1	0,12
2018-09-01	dengi.72.ru	4	1	0,12
2018-09-01	dengi.63.ru	2	1	0,12
2018-09-01	dengi.59.ru	3	0	0,00
2018-09-01	dengi.161.ru	10	6	0,72
2018-09-01	afisha.ufa1.ru	2	0	0,00
2018-09-01	afisha.72.ru	249	141	16,82
2018-09-01	afisha.63.ru	3	1	0,12
2018-09-01	afisha.59.ru	11	3	0,36
2018-09-01	afisha.29.ru	10	5	0,60
2018-09-01	afisha.161.ru	1	0	0,00
2018-09-01	76.ru	2660	1148	131,86
2018-09-01	72.ru	11008	6004	715,98
2018-09-01	63.ru	5014	2202	263,04
2018-09-01	59.ru	2530	1213	144,36
2018-09-01	29.ru	631	266	31,72
2018-09-01	161.ru	2009	831	99,02
2018-09-02	Не определен	191	11	1,32
2018-09-02	zen.yandex.com	36	18	2,06
2018-09-02	www.nn.ru	151	69	8,28
2018-09-02	www.google.ru	5	0	0,00
2018-09-02	www.e1.ru	41531	17804	2132,78
2018-09-02	v1.ru	3000	1296	154,72
2018-09-02	ufa1.ru	1539	728	86,86
2018-09-02	transport.72.ru	4	1	0,12
2018-09-02	pogoda.72.ru	601	197	23,64
2018-09-02	ngs55.ru	669	273	30,36
2018-09-02	ngs24.ru	2012	947	113,44
2018-09-02	news.ngs.ru	22072	9395	1117,60
2018-09-02	doctor.59.ru	10	5	0,60
2018-09-02	doctor.161.ru	2	2	0,24
2018-09-02	diplom.161.ru	10	6	0,72
2018-09-02	dengi.v1.ru	4	2	0,24
2018-09-02	dengi.ufa1.ru	3	2	0,24
2018-09-02	dengi.76.ru	3	2	0,24
2018-09-02	dengi.72.ru	8	4	0,48
2018-09-02	dengi.63.ru	5	3	0,36
2018-09-02	dengi.59.ru	2	2	0,14
2018-09-02	dengi.29.ru	1	1	0,12
2018-09-02	dengi.161.ru	4	1	0,12
2018-09-02	afisha.v1.ru	1	1	0,12
2018-09-02	afisha.ufa1.ru	24	5	0,60
2018-09-02	afisha.76.ru	1	1	0,12
2018-09-02	afisha.72.ru	65	35	4,20
2018-09-02	afisha.63.ru	6	2	0,04
2018-09-02	afisha.59.ru	30	12	1,44
2018-09-02	afisha.29.ru	4	2	0,24
2018-09-02	afisha.161.ru	1	0	0,00
2018-09-02	76.ru	2778	1157	134,54
2018-09-02	72.ru	9383	5008	598,46
2018-09-02	63.ru	3353	1554	185,58
2018-09-02	59.ru	1548	725	86,00
2018-09-02	29.ru	449	198	23,56
2018-09-02	161.ru	2608	1066	127,42
2018-09-03	Не определен	325	68	8,16
2018-09-03	zen.yandex.com	20	8	0,86
2018-09-03	www.nn.ru	322	181	21,62
2018-09-03	www.google.ru	7	0	0,00
2018-09-03	www.e1.ru	100497	56686	6791,92
2018-09-03	video.market-place.su	2	2	0,24
2018-09-03	v1.ru	5740	3162	378,34
2018-09-03	ufa1.ru	1980	1092	130,04
2018-09-03	translate.google.com	1	0	0,00
2018-09-03	pogoda.72.ru	1117	429	51,48
2018-09-03	ngs55.ru	1080	591	67,22
2018-09-03	ngs24.ru	3085	1510	180,50
2018-09-03	news.ngs.ru.itk.d	3	2	0,24
2018-09-03	news.ngs.ru	64803	32652	3906,74
2018-09-03	doctor.ufa1.ru	4	2	0,24
2018-09-03	doctor.59.ru	22	11	1,32
2018-09-03	doctor.161.ru	5	2	0,24
2018-09-03	diplom.161.ru	15	11	1,32
2018-09-03	dengi.v1.ru	10	5	0,60
2018-09-03	dengi.ufa1.ru	1	1	0,12
2018-09-03	dengi.76.ru	8	5	0,50
2018-09-03	dengi.72.ru	14	9	1,08
2018-09-03	dengi.63.ru	5	4	0,38
2018-09-03	dengi.59.ru	4	4	0,48
2018-09-03	dengi.161.ru	7	6	0,72
2018-09-03	afisha.v1.ru	2	1	0,12
2018-09-03	afisha.ufa1.ru	26	16	1,92
2018-09-03	afisha.76.ru	2	1	0,12
2018-09-03	afisha.72.ru	418	248	29,76
2018-09-03	afisha.63.ru	8	3	0,16
2018-09-03	afisha.59.ru	40	22	2,64
2018-09-03	afisha.29.ru	1	1	0,12
2018-09-03	afisha.161.ru	1	0	0,00
2018-09-03	76.ru	4722	2470	287,60
2018-09-03	72.ru	11028	6497	777,14
2018-09-03	63.ru	6090	3270	390,30
2018-09-03	59.ru	4186	2334	279,08
2018-09-03	29.ru	876	397	47,54
2018-09-03	161.ru	5806	2854	342,18
2018-09-03	0s.o53xo.nzxc44tv.cmle.ru	1	1	0,12
2018-09-03	0s.o53xo.muys44tv.cmle.ru	3	2	0,24
2018-09-04	Не определен	402	52	6,24
2018-09-04	zen.yandex.com	8	3	0,36
