Дата	Домен	Загрузки	Показы	Сумма
2018-10-01	www.wday.ru	3	1	0,15
2018-10-02	www.wday.ru	2	1	0,15
2018-10-03	www.wday.ru	2	0	0,00
2018-10-04	www.wday.ru	1	0	0,00
2018-10-04	www.ellegirl.ru	1	1	0,15
2018-10-05	www.ellegirl.ru	1	1	0,15
2018-10-07	www.wday.ru	1	0	0,00
2018-10-18	yang.yandex-team.ru	1	0	0
2018-10-18	www.woman.womantest	17	1	0
2018-10-18	www.woman.ru.womandev	5	2	0
2018-10-18	www.woman.ru	6899	4658	0
2018-10-18	www.wday.ru	1611	755	0
2018-10-18	www.starhit.ru	2761	1847	0
2018-10-18	www.psychologies.ru	27	10	0
2018-10-18	www.maximonline.ru	2833	1248	0
2018-10-18	eu.market-place.su	14	12	0
2018-10-19	www.woman.womantest	3	0	0
2018-10-19	www.woman.ru	5973	4102	0
2018-10-19	www.wday.ru	965	489	0
2018-10-19	www.starhit.ru	6953	4410	0
2018-10-19	www.psychologies.ru	36	19	0
2018-10-19	www.maximonline.ru	5166	2385	0
2018-10-20	yang.yandex-team.ru	3	0	0
2018-10-20	www.woman.womantest	4	0	0
2018-10-20	www.woman.ru	2300	1646	0
2018-10-20	www.wday.ru	398	157	0
2018-10-20	www.starhit.ru	5439	2792	0
2018-10-20	www.psychologies.ru	11	4	0
2018-10-20	www.maximonline.ru	7357	3296	0
2018-10-21	yang.yandex-team.ru	1	0	0
2018-10-21	www.woman.womantest	3	0	0
2018-10-21	www.woman.ru	2071	1504	0
2018-10-21	www.wday.ru	343	141	0
2018-10-21	www.starhit.ru	5029	2605	0
2018-10-21	www.psychologies.ru	18	10	0
2018-10-21	www.maximonline.ru	6852	2989	0
2018-10-21	o53xo.on2gc4tinf2c44tv.cmle.ru	1	1	0
2018-10-21	hghltd.yandex.net	2	1	0
2018-10-22	yang.yandex-team.ru	2	1	0
2018-10-22	www.woman.womantest	24	1	0
2018-10-22	www.woman.ru	8537	5778	0
2018-10-22	www.woman.mediaqa	1	0	0
2018-10-22	www.wday.ru	1765	943	0
2018-10-22	www.starhit.ru	6632	4210	0
2018-10-22	www.psychologies.ru	108	67	0
2018-10-22	www.maximonline.ru	12558	6487	0
2018-10-22	webcache.googleusercontent.com	1	1	0
2018-10-22	hghltd.yandex.net	1	1	0
2018-10-23	yang.yandex-team.ru	1	0	0
2018-10-23	www.woman.womantest	37	1	0
2018-10-23	www.woman.ru	16288	10127	0
2018-10-23	www.wday.ru	3137	1581	0
2018-10-23	www.starhit.ru	6311	3028	0
2018-10-23	www.psychologies.ru	68	46	0
2018-10-23	www.maximonline.ru	8593	3815	0
2018-10-23	m.woman.ru	8	7	0
2018-10-23	hghltd.yandex.net	2	1	0
2018-10-24	www.woman.womantest	34	6	0,90
2018-10-24	www.woman.ru	16865	10649	1597,35
2018-10-24	www.wday.ru	3541	1864	279,60
2018-10-24	www.starhit.ru	3949	1839	275,85
2018-10-24	www.psychologies.ru	76	46	6,90
2018-10-24	www.maximonline.ru	9894	4341	651,15
2018-10-24	webcache.googleusercontent.com	3	0	0,00
2018-10-24	m.woman.ru	4	2	0,30
2018-10-25	www.woman.womantest	9	1	0,15
2018-10-25	www.woman.ru	15561	9681	1452,15
2018-10-25	www.wday.ru	2603	1366	204,90
2018-10-25	www.starhit.ru	4613	2263	339,45
2018-10-25	www.psychologies.ru	70	34	5,10
2018-10-25	www.maximonline.ru	6166	2457	368,42
2018-10-25	m.woman.ru	12	9	1,35
2018-10-26	www.woman.womantest	18	2	0,30
2018-10-26	www.woman.ru	10363	7284	1092,60
2018-10-26	www.wday.ru	2777	1547	232,05
2018-10-26	www.starhit.ru	2326	1413	211,95
2018-10-26	www.psychologies.ru	69	46	6,90
2018-10-26	www.maximonline.ru	2187	1014	152,10
2018-10-26	o53xo.o5xw2ylofzzhk.nblz.ru	13	9	1,35
2018-10-26	o53xo.o5xw2ylofzzhk.cmle.ru	1	1	0,15
2018-10-26	m.woman.ru	2	1	0,15
2018-10-26	dev.starhit.ru	2	1	0,15
2018-10-27	yang.yandex-team.ru	1	0	0,00
2018-10-27	www.woman.womantest	9	1	0,15
2018-10-27	www.woman.ru	2794	2112	316,80
2018-10-27	www.wday.ru	2421	1286	192,90
2018-10-27	www.starhit.ru	828	468	70,20
2018-10-27	www.psychologies.ru	64	41	6,15
2018-10-27	www.maximonline.ru	1349	582	87,30
2018-10-27	o53xo.o5xw2ylofzzhk.nblz.ru	4	1	0,15
2018-10-27	dev.starhit.ru	1	0	0,00
2018-10-28	www.woman.womantest	6	0	0,00
2018-10-28	www.woman.ru	3197	2341	351,15
2018-10-28	www.wday.ru	5042	2333	349,95
2018-10-28	www.starhit.ru	4922	2450	367,50
2018-10-28	www.psychologies.ru	105	60	9,00
2018-10-28	www.maximonline.ru	3311	1784	267,60
2018-10-29	www.woman.womantest	4	0	0,00
2018-10-29	www.woman.ru	7431	5393	808,82
2018-10-29	www.wday.ru	7287	3999	599,85
2018-10-29	www.wday.loc	13	6	0,90
2018-10-29	www.starhit.ru	6510	4353	652,95
2018-10-29	www.psychologies.ru	157	108	16,20
2018-10-29	www.maximonline.ru	7054	4049	607,35
2018-10-29	dev.starhit.ru	1	1	0,15
2018-10-29	cyr.review-z.com	5	5	0,75
