Дата	Домен	Загрузки	Показы	Сумма
2018-10-26	www.stormo.tv	7	0	0,00
2018-10-26	www.pornrewind.com	1	0	0,00
2018-10-26	www.pissrip.net	10	0	0,00
2018-10-26	www.ohotniki.ru	77	28	2,32
2018-10-26	www.multon-line.ru	21	0	0,00
2018-10-26	www.mirarmenia.ru	29	4	0,34
2018-10-26	www.kinosub-online.ru	1	0	0,00
2018-10-26	www.hausefilms.ru	35	1	0,09
2018-10-26	www.catherin.tmweb.ru	1	0	0,00
2018-10-26	webfilmstudio.ru	2	0	0,00
2018-10-26	vinixmult.net	2	1	0,09
2018-10-26	videoizlese.com	1	0	0,00
2018-10-26	turk-serials.com	15	0	0,00
2018-10-26	toloka.yandex.ru	1	0	0,00
2018-10-26	tecnomectrani.com	1	0	0,00
2018-10-26	smotret-multiki.net	54	3	0,26
2018-10-26	serialstut.ru	1	0	0,00
2018-10-26	serialset.com	122	2	0,17
2018-10-26	scat.gold	5	1	0,09
2018-10-26	pinoybay.se	1	0	0,00
2018-10-26	ostfilm.tv	16	2	0,17
2018-10-26	online-supernatural.ru	1	0	0,00
2018-10-26	online-mult.net	12	3	0,26
2018-10-26	onlinemultfilmy.ru	81	8	0,68
2018-10-26	online.anidub.com	184	16	1,36
2018-10-26	newdeaf-online.net	6	1	0,09
2018-10-26	multiki-online24.ru	6	0	0,00
2018-10-26	mnntv.ru	12	0	0,00
2018-10-26	megahit-online.guru	1	1	0,09
2018-10-26	m.animemovie.ru	1	0	0,00
2018-10-26	mailonline.github.io	13	10	0,85
2018-10-26	lavblog.ru	2	0	0,00
2018-10-26	kyrortnik.my1.ru	1	1	0,09
2018-10-26	kinovdom.tv	4	0	0,00
2018-10-26	kinosliva.net	537	137	10,81
2018-10-26	kinoserial.tv	1	0	0,00
2018-10-26	kinopull.net	7	2	0,17
2018-10-26	kinoden.net	7	1	0,09
2018-10-26	kinobars.net	11	0	0,00
2018-10-26	iceage-mult.ru	13	0	0,00
2018-10-26	hotel-eleon-serial.net	464	57	4,85
2018-10-26	home-films.net	1	0	0,00
2018-10-26	hentai-share.tv	4	0	0,00
2018-10-26	hentai-online.me	2	0	0,00
2018-10-26	hentaino.online	1	0	0,00
2018-10-26	hdmulti.net	53	0	0,00
2018-10-26	hdhc.ru	4	0	0,00
2018-10-26	hd1080.online	1	0	0,00
2018-10-26	hayer.tv	2	0	0,00
2018-10-26	haycinema.ru	4	0	0,00
2018-10-26	findanime.me	13285	1350	114,61
2018-10-26	filmotur.ru	4	0	0,00
2018-10-26	fgos-matematic.ucoz.ru	2	0	0,00
2018-10-26	ereko.tv	313	11	0,94
2018-10-26	ekabu.ru	86	3	0,26
2018-10-26	developer.jwplayer.com	1	1	0,09
2018-10-26	chatvdvoem.ru	20	0	0,00
2018-10-26	cartoonsub.com	31	1	0,09
2018-10-26	borodachtv.ru	214	58	4,73
2018-10-26	blokino.org	2	1	0,09
2018-10-26	bigserial.net	3	0	0,00
2018-10-26	badeaf.ru	1	0	0,00
2018-10-26	ashvsevildead.pw	46	3	0,26
2018-10-26	anime.anidub.com	45	0	0,00
2018-10-26	adultmult.tv	19	1	0,09
2018-10-26	abc-news.ru	1	0	0,00
