Дата	Домен	Загрузки	Показы	Сумма
2018-10-26	yang.yandex-team.ru	3	0	0
2018-10-26	www.nn.ru	1234	850	0
2018-10-26	www.e1.ru	59053	31286	0
2018-10-26	v1.ru	749	517	0
2018-10-26	ufa1.ru	1058	696	0
2018-10-26	turizm.ngs.ru	15	6	0
2018-10-26	turizm.ngs55.ru	1	0	0
2018-10-26	turizm.ngs24.ru	4	0	0
2018-10-26	sp.ngs.ru	106	50	0
2018-10-26	she.ngs.ru	190	60	0
2018-10-26	she.ngs55.ru	4	1	0
2018-10-26	she.ngs22.ru	1	1	0
2018-10-26	realty.ngs.ru	338	131	0
2018-10-26	pogoda.e1.ru	1953	1112	0
2018-10-26	pogoda.72.ru	336	180	0
2018-10-26	okna.ngs.ru	1	0	0
2018-10-26	nsk.zarplata.ru	111	30	0
2018-10-26	ngs.ru	389	271	0
2018-10-26	ngs55.ru	240	114	0
2018-10-26	ngs24.ru	2137	1346	0
2018-10-26	news.ngs.ru	316	229	0
2018-10-26	localhost	7	6	0
2018-10-26	gilcom.ru	1	0	0
2018-10-26	forum.prm.ru	3	1	0
2018-10-26	forum.ngs.ru	1636	541	0
2018-10-26	forum.ngs70.ru	2	0	0
2018-10-26	forum.ngs55.ru	2	0	0
2018-10-26	forum.ngs42.ru	1	0	0
2018-10-26	forum.ngs38.ru	4	0	0
2018-10-26	forum.ngs24.ru	23	10	0
2018-10-26	forum.ngs23.ru	2	1	0
2018-10-26	forum.ngs22.ru	1	0	0
2018-10-26	eu.market-place.su	2	2	0
2018-10-26	dveri.ngs.ru	3	1	0
2018-10-26	dom.ngs.ru	138	66	0
2018-10-26	doctor.59.ru	4	1	0
2018-10-26	dengi.ufa1.ru	1	0	0
2018-10-26	dengi.63.ru	1	1	0
2018-10-26	dengi.59.ru	8	2	0
2018-10-26	business.ngs.ru	91	26	0
2018-10-26	afisha.ngs.ru	1171	743	0
2018-10-26	afisha.ngs55.ru	1	0	0
2018-10-26	afisha.59.ru	8	2	0
2018-10-26	76.ru	1399	922	0
2018-10-26	72.ru	4564	3134	0
2018-10-26	63.ru	1882	1346	0
2018-10-26	59.ru	10367	7014	0
2018-10-26	29.ru	398	259	0
2018-10-26	161.ru	1921	1286	0
2018-10-26	0s.o53xo.muys44tv.cmle.ru	4	4	0
