Дата	Домен	Загрузки	Показы	Сумма
2018-09-01	Не определен	2	2	0,17
2018-09-01	zen.yandex.com	1	1	0,09
2018-09-01	doctor.74.ru	103	49	3,97
2018-09-01	diplom.74.ru	1033	559	46,93
2018-09-01	chelyabinsk.74.ru	7932	3419	288,21
2018-09-01	chel.74.ru	228	87	7,01
2018-09-01	afisha.74.ru	76	38	3,23
2018-09-01	74.ru	12	4	0,34
2018-09-02	doctor.74.ru	94	32	2,53
2018-09-02	diplom.74.ru	456	219	18,42
2018-09-02	chelyabinsk.74.ru	6952	2797	235,99
2018-09-02	chel.74.ru	235	80	6,54
2018-09-02	afisha.74.ru	86	36	3,00
2018-09-02	74.ru	2	1	0,09
2018-09-03	Не определен	6	4	0,34
2018-09-03	transport.74.ru	2	1	0,09
2018-09-03	doctor.74.ru	174	85	7,10
2018-09-03	diplom.74.ru	571	319	26,86
2018-09-03	chelyabinsk.74.ru	20919	10397	880,50
2018-09-03	chel.74.ru	922	433	36,48
2018-09-03	afisha.74.ru	248	120	10,07
2018-09-03	74.ru	3	2	0,17
2018-09-04	Не определен	2	1	0,09
2018-09-04	doctor.74.ru	138	71	5,78
2018-09-04	diplom.74.ru	220	134	10,55
2018-09-04	chelyabinsk.74.ru.test.dev.rugion.ru	2	0	0,00
2018-09-04	chelyabinsk.74.ru.sychev.dev.rugion.ru	2	2	0,17
2018-09-04	chelyabinsk.74.ru	15392	8204	692,86
2018-09-04	chel.74.ru	2526	1534	129,74
2018-09-04	afisha.74.ru	161	103	8,63
2018-09-04	74.ru	17	8	0,68
2018-09-05	Не определен	2	0	0,00
2018-09-05	zen.yandex.com	2	0	0,00
2018-09-05	translate.google.com	1	1	0,09
2018-09-05	doctor.74.ru.sychev.dev.rugion.ru	1	0	0,00
2018-09-05	doctor.74.ru	375	174	14,21
2018-09-05	diplom.74.ru	173	86	6,92
2018-09-05	chelyabinsk.74.ru	42351	22517	1903,22
2018-09-05	chel.74.ru	660	358	29,85
2018-09-05	afisha.74.ru	88	47	3,87
