Дата	Домен	Загрузки	Показы	Сумма
2018-10-01	Не определен	5	0	0,00
2018-10-01	zen.yandex.com	1	1	0,09
2018-10-01	doctor.74.ru	27	17	1,38
2018-10-01	diplom.74.ru	16	11	0,87
2018-10-01	chelyabinsk.74.ru	293	155	13,05
2018-10-01	chel.74.ru	54	24	1,98
2018-10-01	afisha.74.ru	6	2	0,11
2018-10-01	74.ru	16903	8525	721,51
2018-10-02	Не определен	3	1	0,09
2018-10-02	zen.yandex.com	1	1	0,09
2018-10-02	localhost	5	1	0,09
2018-10-02	doctor.74.ru	20	12	0,89
2018-10-02	diplom.74.ru	26	11	0,87
2018-10-02	chelyabinsk.74.ru	215	97	8,05
2018-10-02	chel.74.ru	58	25	2,13
2018-10-02	afisha.74.ru	6	3	0,26
2018-10-02	74.ru	16088	8521	719,02
2018-10-03	Не определен	2	1	0,09
2018-10-03	doctor.74.ru	19	7	0,60
2018-10-03	diplom.74.ru	22	9	0,64
2018-10-03	chelyabinsk.74.ru	136	47	3,93
2018-10-03	chel.74.ru	30	13	0,98
2018-10-03	afisha.74.ru	3	0	0,00
2018-10-03	74.ru	14071	5929	498,83
2018-10-04	Не определен	3	1	0,09
2018-10-04	pogoda.74.ru	1	0	0,00
2018-10-04	f3.weblink.su	1	0	0,00
2018-10-04	doctor.74.ru	18	8	0,62
2018-10-04	diplom.74.ru	29	10	0,79
2018-10-04	chelyabinsk.74.ru	156	54	4,40
2018-10-04	chel.74.ru	41	12	0,89
2018-10-04	afisha.74.ru	7	1	0,09
2018-10-04	74.ru	11408	3917	327,49
2018-10-05	Не определен	1	1	0,09
2018-10-05	doctor.74.ru	14	4	0,34
2018-10-05	diplom.74.ru	16	7	0,53
2018-10-05	chelyabinsk.74.ru	182	65	5,46
2018-10-05	chel.74.ru	51	20	1,70
2018-10-05	afisha.74.ru	7	1	0,09
2018-10-05	74.ru	15385	5824	491,60
2018-10-06	doctor.74.ru	15	1	0,09
2018-10-06	diplom.74.ru	11	2	0,17
2018-10-06	chelyabinsk.74.ru	83	28	2,25
2018-10-06	chel.74.ru	22	8	0,68
2018-10-06	afisha.74.ru	7	4	0,34
2018-10-06	74.ru	4927	1960	165,30
2018-10-07	Не определен	1	1	0,09
2018-10-07	doctor.74.ru	11	6	0,51
2018-10-07	diplom.74.ru	9	2	0,17
2018-10-07	chelyabinsk.74.ru	73	33	2,74
2018-10-07	chel.74.ru	27	9	0,77
2018-10-07	afisha.74.ru	6	3	0,26
2018-10-07	74.ru	3566	1437	121,04
2018-10-08	Не определен	4	0	0,00
2018-10-08	localhost	1	1	0,09
2018-10-08	doctor.74.ru	34	16	1,30
2018-10-08	diplom.74.ru	22	8	0,68
2018-10-08	chelyabinsk.74.ru	172	102	8,61
2018-10-08	chel.74.ru	39	23	1,96
2018-10-08	afisha.74.ru	1	1	0,09
2018-10-08	74.ru	12401	6701	567,38
2018-10-09	Не определен	6	2	0,17
2018-10-09	doctor.74.ru	29	11	0,94
2018-10-09	diplom.74.ru	12	6	0,51
2018-10-09	chelyabinsk.74.ru	185	93	7,91
2018-10-09	chel.74.ru	34	20	1,57
2018-10-09	afisha.74.ru	3	0	0,00
2018-10-09	74.ru	11424	6437	541,69
2018-10-10	Не определен	2	0	0,00
2018-10-10	doctor.74.ru	13	9	0,77
2018-10-10	diplom.74.ru	6	5	0,36
2018-10-10	chelyabinsk.74.ru	196	102	8,54
2018-10-10	chel.74.ru	25	10	0,79
