Дата	Домен	Загрузки	Показы	Сумма
2018-12-24	yang.yandex-team.ru	2	1	0,15
2018-12-24	www.woman.womantest	1	0	0,00
2018-12-24	www.woman.ru	2302	882	132,30
2018-12-24	www.wday.ru	9119	3690	553,50
2018-12-24	www.vokrugsveta.ru	256	118	17,70
2018-12-24	www.starhit.ru	14962	10259	1538,85
2018-12-24	www.psychologies.ru	7	2	0,30
2018-12-24	www.maximonline.ru.e.x	12	6	0,90
2018-12-24	www.maximonline.ru	47773	28670	4300,50
2018-12-24	pr.mlg.ru	2	2	0,30
2018-12-24	mirkino.icu	0	0	0,00
2018-12-24	epoluyan-wday.ru.rancher.hsmdev.ru	1	1	0,15
2018-12-24	dev-wday.ru	1	1	0,15
2018-12-24	dev.starhit.ru	2	2	0,30
