Дата	Домен	Загрузки	Показы	Сумма
2018-12-23	yang.yandex-team.ru	7	2	0,24
2018-12-23	www.nn.ru	11843	6785	813,90
2018-12-23	www.e1.ru	88306	36412	4369,24
2018-12-23	webcache.googleusercontent.com	1	1	0,12
2018-12-23	v1.ru	2268	1805	216,60
2018-12-23	ufa1.ru	862	389	46,18
2018-12-23	turizm.ngs.ru	80	24	2,78
2018-12-23	turizm.ngs70.ru	1	0	0,00
2018-12-23	turizm.ngs24.ru	1	1	0,12
2018-12-23	turizm.ngs22.ru	2	0	0,00
2018-12-23	sp.ngs.ru	209	76	9,12
2018-12-23	she.ngs.ru	463	123	14,46
2018-12-23	she.ngs70.ru	4	2	0,24
2018-12-23	she.ngs55.ru	7	0	0,00
2018-12-23	she.ngs24.ru	6	2	0,24
2018-12-23	realty.ngs.ru	808	254	30,38
2018-12-23	pogoda.e1.ru	369	203	24,36
2018-12-23	pogoda.72.ru	431	212	25,44
2018-12-23	okna.ngs.ru	13	6	0,72
2018-12-23	nsk.zarplata.ru	354	85	10,20
2018-12-23	nnnovosti.ru	1	1	0,12
2018-12-23	ngs.ru	3023	2103	252,36
2018-12-23	ngs55.ru.b.t1	1	0	0,00
2018-12-23	ngs55.ru	1146	550	65,50
2018-12-23	ngs24.ru	2786	1627	195,14
2018-12-23	news.ngs.ru	2375	1777	213,14
2018-12-23	mebel.ngs.ru	7	3	0,36
2018-12-23	localhost	4	4	0,48
2018-12-23	hghltd.yandex.net	1	0	0,00
2018-12-23	gilcom.ru	1	0	0,00
2018-12-23	forum.samara24.ru	21	4	0,48
2018-12-23	forum.prm.ru	2	1	0,12
2018-12-23	forum.ngs.ru	3921	911	107,42
2018-12-23	forum.ngs70.ru	8	2	0,24
2018-12-23	forum.ngs55.ru	12	0	0,00
2018-12-23	forum.ngs42.ru	6	3	0,36
2018-12-23	forum.ngs38.ru	4	0	0,00
2018-12-23	forum.ngs24.ru	50	10	1,10
2018-12-23	forum.ngs23.ru	16	2	0,24
2018-12-23	forum.ngs22.ru	15	1	0,12
2018-12-23	dveri.ngs.ru	11	6	0,72
2018-12-23	dom.ngs.ru	468	125	14,80
2018-12-23	dom.ngs24.ru	5	1	0,12
2018-12-23	business.ngs.ru	438	150	17,90
2018-12-23	afisha.ngs.ru	555	286	34,22
2018-12-23	76.ru	1434	781	93,52
2018-12-23	72.ru	16187	11552	1385,84
2018-12-23	63.ru	12066	8105	972,50
2018-12-23	59.ru	1556	894	107,28
2018-12-23	161.ru	1195	605	72,50
2018-12-23	0s.o53xo.muys44tv.cmle.ru	3	2	0,24
