Дата	Домен	Загрузки	Показы	Сумма
2018-12-24	yang.yandex-team.ru	10	3	0,36
2018-12-24	www.nn.ru	8232	6591	790,42
2018-12-24	www.e1.ru	92867	41826	5018,42
2018-12-24	webcache.googleusercontent.com	3	1	0,12
2018-12-24	v1.ru	1015	578	69,26
2018-12-24	ufa1.ru	448	254	30,48
2018-12-24	turizm.ngs.ru	49	16	1,92
2018-12-24	turizm.ngs70.ru	2	1	0,12
2018-12-24	turizm.ngs24.ru	8	2	0,24
2018-12-24	translate.google.com	0	0	0,00
2018-12-24	tpv.market-place.su	0	0	0,00
2018-12-24	sp.ngs.ru	157	57	6,84
2018-12-24	she.ngs.ru	432	94	10,28
2018-12-24	she.ngs70.ru	2	1	0,12
2018-12-24	she.ngs55.ru	6	0	0,00
2018-12-24	she.ngs42.ru	2	1	0,12
2018-12-24	she.ngs38.ru	3	2	0,24
2018-12-24	she.ngs24.ru	11	1	0,12
2018-12-24	realty.ngs.ru	708	239	28,58
2018-12-24	pr.mlg.ru	2	1	0,12
2018-12-24	pogoda.e1.ru	665	386	46,32
2018-12-24	pogoda.72.ru	678	302	36,24
2018-12-24	okna.ngs.ru	1	1	0,12
2018-12-24	nsk.zarplata.ru	238	80	9,60
2018-12-24	ngs.ru	2272	1616	193,92
2018-12-24	ngs55.ru	507	298	34,76
2018-12-24	ngs24.ru.tipto.p	6	6	0,72
2018-12-24	ngs24.ru	1756	1146	137,52
2018-12-24	news.ngs.ru.b.t1	1	1	0,12
2018-12-24	news.ngs.ru	2005	1315	157,10
2018-12-24	mebel.ngs.ru	4	1	0,12
2018-12-24	hghltd.yandex.net	1	0	0,00
2018-12-24	forum.samara24.ru	13	4	0,48
2018-12-24	forum.prm.ru	4	0	0,00
2018-12-24	forum.ngs.ru.forum3.d	2	2	0,24
2018-12-24	forum.ngs.ru	3075	725	84,40
2018-12-24	forum.ngs70.ru	4	1	0,12
2018-12-24	forum.ngs55.ru	12	3	0,36
2018-12-24	forum.ngs42.ru	8	0	0,00
2018-12-24	forum.ngs38.ru	8	3	0,36
2018-12-24	forum.ngs24.ru	42	8	0,96
2018-12-24	forum.ngs23.ru	4	1	0,12
2018-12-24	forum.ngs22.ru	4	0	0,00
2018-12-24	eu.market-place.su	17	12	1,44
2018-12-24	dveri.ngs.ru	7	5	0,60
2018-12-24	dom.ngs.ru	243	85	10,10
2018-12-24	dom.ngs24.ru	3	3	0,36
2018-12-24	business.ngs.ru	324	83	9,66
2018-12-24	afisha.ngs.ru	731	302	36,24
2018-12-24	76.ru	1012	521	59,92
2018-12-24	72.ru.br.t1	1	0	0,00
2018-12-24	72.ru	14398	11358	1362,76
2018-12-24	63.ru	16023	10041	1204,12
2018-12-24	59.ru	773	584	69,88
2018-12-24	161.ru	665	338	40,56
2018-12-24	0s.o53xo.muys44tv.cmle.ru	5	1	0,12
