Дата	Домен	Загрузки	Показы	Сумма
2018-09-12	Не определен	2	0	0,00
2018-09-12	zen.yandex.com	30	1	0,15
2018-09-12	www.wday.ru	8667	2032	304,80
2018-09-12	www.starhit.ru	2335	437	65,55
2018-09-12	www.psychologies.ru	912	350	52,50
2018-09-12	www.maximonline.ru	1506	535	80,25
2018-09-12	www.google.ru	7	0	0,00
2018-09-12	www.google.com	2	0	0,00
2018-09-12	m.woman.ru	13078	3731	559,65
2018-09-13	Не определен	14	1	0,15
2018-09-13	zen.yandex.com	98	4	0,47
2018-09-13	www.wday.ru	29578	8607	1290,14
2018-09-13	www.starhit.ru	8823	1849	276,70
2018-09-13	www.psychologies.ru	1981	868	130,07
2018-09-13	www.maximonline.ru	3458	1309	195,83
2018-09-13	www.google.ru	13	0	0,00
2018-09-13	www.google.com	3	0	0,00
2018-09-13	m.woman.ru	28508	10163	1524,06
2018-09-13	hghltd.yandex.net	2	0	0,00
2018-09-13	dev-wday.ru:8100	10	7	1,05
2018-09-14	Не определен	8	0	0,00
2018-09-14	zen.yandex.com	196	7	1,05
2018-09-14	www.wday.ru	28329	9446	1415,08
2018-09-14	www.starhit.ru	2647	1265	189,62
2018-09-14	www.psychologies.ru	3392	1437	215,42
2018-09-14	www.maximonline.ru	1163	507	75,66
2018-09-14	www.google.ru	8	0	0,00
2018-09-14	www.google.com	4	0	0,00
2018-09-14	m.woman.ru	28178	10739	1607,99
2018-09-14	dev-wday.ru:8100	9	5	0,75
2018-09-15	Не определен	7	0	0,00
2018-09-15	zen.yandex.com	239	13	1,82
2018-09-15	www.wday.ru	26028	7987	1197,01
2018-09-15	www.starhit.ru	5488	1647	245,62
2018-09-15	www.psychologies.ru	8232	3730	558,33
2018-09-15	www.maximonline.ru	3501	1469	219,70
2018-09-15	www.google.ru	13	0	0,00
2018-09-15	www.google.com	7	0	0,00
2018-09-15	r.search.yahoo.com	1	0	0,00
2018-09-15	m.woman.ru	28353	10590	1586,81
2018-09-16	Не определен	5	0	0,00
2018-09-16	zen.yandex.com	168	10	1,50
2018-09-16	www.wday.ru	27804	8645	1294,93
2018-09-16	www.starhit.ru	12301	3624	541,00
2018-09-16	www.psychologies.ru	5049	2198	328,66
2018-09-16	www.maximonline.ru	5977	2408	360,68
2018-09-16	www.google.ru	24	0	0,00
2018-09-16	www.google.com	8	1	0,15
2018-09-16	o53xo.o5sgc6jooj2q.cmle.ru	2	0	0,00
2018-09-16	m.woman.ru	30951	11136	1669,36
2018-09-17	Не определен	9	0	0,00
2018-09-17	zen.yandex.com	144	5	0,75
2018-09-17	www.wday.ru	24367	7063	1057,89
2018-09-17	www.starhit.ru	13627	2706	404,60
2018-09-17	www.psychologies.ru	3245	1289	192,96
2018-09-17	www.maximonline.ru.ae.x	1	0	0,00
2018-09-17	www.maximonline.ru	6715	2459	367,55
2018-09-17	www.google.ru	7	0	0,00
2018-09-17	www.google.com	4	0	0,00
2018-09-17	news.google.com	2	0	0,00
2018-09-17	m.woman.ru	31411	10898	1632,88
2018-09-17	m.facebook.com	2	1	0,15
2018-09-17	dev-wday.ru:8100	3	0	0,00
2018-09-18	Не определен	2	0	0,00
2018-09-18	zen.yandex.com	128	1	0,15
2018-09-18	www.wday.ru	18660	6482	970,74
2018-09-18	www.starhit.ru	5866	1929	288,70
2018-09-18	www.psychologies.ru	3074	1322	198,04
2018-09-18	www.maximonline.ru	4248	1806	270,12
2018-09-18	www.google.ru	13	0	0,00
2018-09-18	www.google.com	7	1	0,15
2018-09-18	m.woman.ru	28683	11112	1663,94
2018-09-18	dev-wday.ru:8100	25	12	1,80
2018-09-19	Не определен	10	0	0,00
2018-09-19	zen.yandex.com	44	1	0,15
2018-09-19	www.wday.ru	7859	3411	509,96
2018-09-19	www.starhit.ru	3864	560	83,22
2018-09-19	www.psychologies.ru	2400	963	144,45
2018-09-19	www.maximonline.ru	3771	1203	180,19
2018-09-19	www.google.ru	19	0	0,00
2018-09-19	www.google.com	9	0	0,00
2018-09-19	m.woman.ru	27413	9262	1387,87
2018-09-19	hghltd.yandex.net	2	1	0,15
2018-09-19	dev-wday.ru:8100	14	10	1,50
2018-09-19	dev-wday.ru	1	1	0,15
2018-09-20	Не определен	3	0	0,00
2018-09-20	zen.yandex.com	11	0	0,00
2018-09-20	www.wday.ru	2964	1830	273,20
2018-09-20	www.starhit.ru	1496	443	66,45
2018-09-20	www.psychologies.ru	1627	696	104,27
2018-09-20	www.maximonline.ru	2949	1024	153,34
2018-09-20	www.google.ru	17	1	0,15
2018-09-20	www.google.com	5	1	0,15
2018-09-20	m.woman.ru	25129	9787	1465,58
2018-09-20	hghltd.yandex.net	3	1	0,15
2018-09-21	Не определен	3	0	0,00
2018-09-21	zen.yandex.com	21	2	0,30
2018-09-21	www.wday.ru	3159	1938	290,18
