Дата	Домен	Загрузки	Показы	Сумма
2018-06-05	Не определен	17	0	0,0000
2018-06-05	zen.yandex.com	13	8	0,9600
2018-06-05	www.nn.ru	6600	3263	391,2600
2018-06-05	www.google.ru	5	0	0,0000
2018-06-05	www.google.com	1	0	0,0000
2018-06-05	www.e1.ru	114260	54418	6525,6600
2018-06-05	video.market-place.su	4	1	0,1200
2018-06-05	v1.ru	4515	2384	285,7800
2018-06-05	ufa1.ru	2047	1028	123,3600
2018-06-05	transport.74.ru	3	0	0,0000
2018-06-05	translate.google.com	1	1	0,1200
2018-06-05	ngs55.ru	1840	1197	143,3400
2018-06-05	ngs24.ru	3925	2148	257,6600
2018-06-05	news.ngs.ru	13762	6597	791,1400
2018-06-05	echo.msk.ru	1	1	0,1200
2018-06-05	doctor.74.ru	494	308	36,9600
2018-06-05	doctor.59.ru	4	1	0,1200
2018-06-05	doctor.161.ru	1	1	0,1200
2018-06-05	diplom.74.ru	900	551	66,1200
2018-06-05	diplom.161.ru	16	5	0,6000
2018-06-05	dengi.v1.ru	3	1	0,1200
2018-06-05	dengi.ufa1.ru	2	2	0,2400
2018-06-05	dengi.76.ru	4	3	0,3600
2018-06-05	dengi.72.ru	2	1	0,1200
2018-06-05	dengi.63.ru	2	0	0,0000
2018-06-05	dengi.59.ru	6	2	0,2400
2018-06-05	dengi.161.ru	2	1	0,1200
2018-06-05	chelyabinsk.74.ru	6430	3992	478,9400
2018-06-05	chel.74.ru	626	362	43,2400
2018-06-05	afisha.v1.ru	2	1	0,1200
2018-06-05	afisha.ufa1.ru	3	0	0,0000
2018-06-05	afisha.76.ru	1	0	0,0000
2018-06-05	afisha.74.ru	19	5	0,6000
2018-06-05	afisha.72.ru	1	0	0,0000
2018-06-05	afisha.59.ru	1	1	0,1200
2018-06-05	76.ru	8029	4105	492,5000
2018-06-05	74.ru	1	0	0,0000
2018-06-05	72.ru	4613	2474	296,7800
2018-06-05	63.ru	6491	3427	407,4400
2018-06-05	59.ru	4357	2482	297,5400
2018-06-05	29.ru	1387	653	78,3600
2018-06-05	161.ru	3552	1889	226,6800
2018-06-05	0s.o53xo.nzxc44tv.cmle.ru	2	2	0,2400
2018-06-05	0s.o53xo.muys44tv.nblu.ru	1	1	0,1200
2018-06-06	Не определен	68	17	2,0400
2018-06-06	zen.yandex.com	23	8	0,9600
2018-06-06	www.nn.ru	18637	9527	1142,5400
2018-06-06	www.google.ru	7	0	0,0000
2018-06-06	www.e1.ru	170162	75695	9075,9000
2018-06-06	video.market-place.su	6	1	0,1200
2018-06-06	v1.ru	12302	6409	768,9800
2018-06-06	ufa1.ru	12073	6466	775,2200
2018-06-06	transport.76.ru	4	0	0,0000
2018-06-06	transport.74.ru	4	1	0,1200
2018-06-06	translate.google.com	5	5	0,6000
2018-06-06	nnnovosti.ru	26	18	2,1600
2018-06-06	ngs55.ru.mn.d	1	0	0,0000
2018-06-06	ngs55.ru	5693	3093	370,0600
2018-06-06	ngs24.ru	26046	12660	1518,3000
2018-06-06	news.ngs.ru.mn.d	1	0	0,0000
2018-06-06	news.ngs.ru	87091	39548	4740,1600
2018-06-06	login.mlg.ru	2	2	0,2400
2018-06-06	hghltd.yandex.net	1	1	0,1200
2018-06-06	doctor.74.ru	981	602	71,9400
2018-06-06	doctor.59.ru	9	4	0,4800
2018-06-06	doctor.161.ru	2	1	0,1200
2018-06-06	diplom.74.ru	2697	1800	215,8000
2018-06-06	diplom.161.ru	21	12	1,4400
2018-06-06	dengi.v1.ru	10	7	0,8400
2018-06-06	dengi.ufa1.ru	11	3	0,3600
2018-06-06	dengi.76.ru	3	1	0,1200
2018-06-06	dengi.72.ru	2	1	0,1200
2018-06-06	dengi.63.ru	9	2	0,2400
2018-06-06	dengi.59.ru	25	9	1,0800
2018-06-06	dengi.29.ru	1	0	0,0000
2018-06-06	dengi.161.ru	14	8	0,9600
2018-06-06	chelyabinsk.74.ru.test.dev.rugion.ru	3	0	0,0000
2018-06-06	chelyabinsk.74.ru	36829	21143	2535,1600
2018-06-06	chel.74.ru	5298	3355	402,1000
2018-06-06	afisha.v1.ru	2	0	0,0000
2018-06-06	afisha.ufa1.ru	3	1	0,1200
2018-06-06	afisha.76.ru	3	2	0,2400
2018-06-06	afisha.74.ru	52	18	2,1600
2018-06-06	afisha.72.ru	2	0	0,0000
2018-06-06	afisha.63.ru	18	7	0,8400
2018-06-06	afisha.59.ru	5	1	0,1200
2018-06-06	afisha.29.ru	4	1	0,1200
2018-06-06	afisha.161.ru	3	1	0,1200
2018-06-06	76.ru	24346	11584	1389,9800
2018-06-06	74.ru	3	0	0,0000
2018-06-06	72.ru.sychev.dev.rugion.ru	6	2	0,2400
2018-06-06	72.ru	24692	13322	1597,3400
2018-06-06	63.ru	28647	14342	1708,8400
2018-06-06	59.ru	15190	7730	926,3000
2018-06-06	29.ru	3638	1692	202,9400
2018-06-06	161.ru	9227	4590	550,4000
2018-06-06	0s.o53xo.nzxc44tv.cmle.ru	3	1	0,1200
2018-06-06	0s.o53xo.muys44tv.nblu.ru	4	2	0,2400
2018-06-06	0s.o53xo.muys44tv.cmle.ru	11	8	0,9600
2018-06-07	Не определен	58	5	0,6000
2018-06-07	zen.yandex.com	14	4	0,4800
2018-06-07	www.nn.ru	19275	8379	1004,9800
2018-06-07	www.google.ru	10	0	0,0000
2018-06-07	www.google.com	1	0	0,0000
2018-06-07	www.e1.ru	199422	88838	10648,1600
2018-06-07	video.market-place.su	13	0	0,0000
2018-06-07	v1.ru	15035	6961	834,9200
