Дата	Домен	Загрузки	Показы	Сумма
2018-08-14	Не определен	198	31	3,7200
2018-08-14	zen.yandex.com	8	5	0,5000
2018-08-14	www.nn.ru	40	16	1,9200
2018-08-14	www.google.ru	1	0	0,0000
2018-08-14	www.e1.ru	8920	4168	499,6600
2018-08-14	v1.ru	4798	3040	361,3000
2018-08-14	ufa1.ru	2920	1557	185,8400
2018-08-14	translate.google.com	1	0	0,0000
2018-08-14	pogoda.72.ru	429	174	20,8800
2018-08-14	ngs55.ru	243	109	11,5800
2018-08-14	ngs24.ru.omen.d	1	0	0,0000
2018-08-14	ngs24.ru	2811	1291	153,0200
2018-08-14	news.ngs.ru.omen.d	3	2	0,2400
2018-08-14	news.ngs.ru.k.t1	1	0	0,0000
2018-08-14	news.ngs.ru.ab.t1	1	0	0,0000
2018-08-14	news.ngs.ru	33296	17682	2104,1400
2018-08-14	doctor.ufa1.ru	2	0	0,0000
2018-08-14	doctor.59.ru	12	3	0,3600
2018-08-14	doctor.161.ru	1	1	0,1200
2018-08-14	diplom.161.ru	1	1	0,1200
2018-08-14	dengi.v1.ru	1	0	0,0000
2018-08-14	dengi.ufa1.ru	5	1	0,1200
2018-08-14	dengi.76.ru	3	1	0,1200
2018-08-14	dengi.72.ru	5	1	0,1200
2018-08-14	dengi.59.ru	3	1	0,0200
2018-08-14	dengi.161.ru	1	1	0,1200
2018-08-14	afisha.ufa1.ru	1	1	0,1200
2018-08-14	afisha.76.ru	2	1	0,1200
2018-08-14	afisha.72.ru	25	10	1,2000
2018-08-14	afisha.63.ru	1	0	0,0000
2018-08-14	afisha.59.ru	11	6	0,7200
2018-08-14	afisha.161.ru	2	0	0,0000
2018-08-14	76.ru	5205	2444	292,4800
2018-08-14	72.ru	5706	3330	396,8000
2018-08-14	63.ru	2520	1241	145,1200
2018-08-14	59.ru	4601	2439	286,1800
2018-08-14	29.ru	950	504	60,4800
2018-08-14	161.ru	1569	821	98,3200
