Дата	Домен	Загрузки	Показы	Сумма
2018-06-05	Не определен	17	0	0,0000
2018-06-05	zen.yandex.com	13	8	0,6800
2018-06-05	www.nn.ru	6600	3263	277,1600
2018-06-05	www.google.ru	5	0	0,0000
2018-06-05	www.google.com	1	0	0,0000
2018-06-05	www.e1.ru	114260	54418	4622,6050
2018-06-05	video.market-place.su	4	1	0,0850
2018-06-05	v1.ru	4515	2384	202,4450
2018-06-05	ufa1.ru	2047	1028	87,3800
2018-06-05	transport.74.ru	3	0	0,0000
2018-06-05	translate.google.com	1	1	0,0850
2018-06-05	ngs55.ru	1840	1197	101,5500
2018-06-05	ngs24.ru	3925	2148	182,5150
2018-06-05	news.ngs.ru	13762	6597	560,4200
2018-06-05	echo.msk.ru	1	1	0,0850
2018-06-05	doctor.74.ru	494	308	26,1800
2018-06-05	doctor.59.ru	4	1	0,0850
2018-06-05	doctor.161.ru	1	1	0,0850
2018-06-05	diplom.74.ru	900	551	46,8350
2018-06-05	diplom.161.ru	16	5	0,4250
2018-06-05	dengi.v1.ru	3	1	0,0850
2018-06-05	dengi.ufa1.ru	2	2	0,1700
2018-06-05	dengi.76.ru	4	3	0,2550
2018-06-05	dengi.72.ru	2	1	0,0850
2018-06-05	dengi.63.ru	2	0	0,0000
2018-06-05	dengi.59.ru	6	2	0,1700
2018-06-05	dengi.161.ru	2	1	0,0850
2018-06-05	chelyabinsk.74.ru	6430	3992	339,2550
2018-06-05	chel.74.ru	626	362	30,6400
2018-06-05	afisha.v1.ru	2	1	0,0850
2018-06-05	afisha.ufa1.ru	3	0	0,0000
2018-06-05	afisha.76.ru	1	0	0,0000
2018-06-05	afisha.74.ru	19	5	0,4250
2018-06-05	afisha.72.ru	1	0	0,0000
2018-06-05	afisha.59.ru	1	1	0,0850
2018-06-05	76.ru	8029	4105	348,8600
2018-06-05	74.ru	1	0	0,0000
2018-06-05	72.ru	4613	2474	210,2250
2018-06-05	63.ru	6491	3427	288,8250
2018-06-05	59.ru	4357	2482	210,7750
2018-06-05	29.ru	1387	653	55,5050
2018-06-05	161.ru	3552	1889	160,5650
2018-06-05	0s.o53xo.nzxc44tv.cmle.ru	2	2	0,1700
2018-06-05	0s.o53xo.muys44tv.nblu.ru	1	1	0,0850
2018-06-06	Не определен	68	17	1,4450
2018-06-06	zen.yandex.com	23	8	0,6800
2018-06-06	www.nn.ru	18637	9527	809,3400
2018-06-06	www.google.ru	7	0	0,0000
2018-06-06	www.e1.ru	170162	75695	6429,2000
2018-06-06	video.market-place.su	6	1	0,0850
2018-06-06	v1.ru	12302	6409	544,7000
2018-06-06	ufa1.ru	12073	6466	549,1550
2018-06-06	transport.76.ru	4	0	0,0000
2018-06-06	transport.74.ru	4	1	0,0850
2018-06-06	translate.google.com	5	5	0,4250
2018-06-06	nnnovosti.ru	26	18	1,5300
2018-06-06	ngs55.ru.mn.d	1	0	0,0000
2018-06-06	ngs55.ru	5693	3093	262,1900
2018-06-06	ngs24.ru	26046	12660	1075,5150
2018-06-06	news.ngs.ru.mn.d	1	0	0,0000
2018-06-06	news.ngs.ru	87091	39548	3357,9400
2018-06-06	login.mlg.ru	2	2	0,1700
2018-06-06	hghltd.yandex.net	1	1	0,0850
2018-06-06	doctor.74.ru	981	602	50,9750
2018-06-06	doctor.59.ru	9	4	0,3400
2018-06-06	doctor.161.ru	2	1	0,0850
2018-06-06	diplom.74.ru	2697	1800	152,8700
2018-06-06	diplom.161.ru	21	12	1,0200
2018-06-06	dengi.v1.ru	10	7	0,5950
2018-06-06	dengi.ufa1.ru	11	3	0,2550
2018-06-06	dengi.76.ru	3	1	0,0850
2018-06-06	dengi.72.ru	2	1	0,0850
2018-06-06	dengi.63.ru	9	2	0,1700
2018-06-06	dengi.59.ru	25	9	0,7650
2018-06-06	dengi.29.ru	1	0	0,0000
2018-06-06	dengi.161.ru	14	8	0,6800
2018-06-06	chelyabinsk.74.ru.test.dev.rugion.ru	3	0	0,0000
2018-06-06	chelyabinsk.74.ru	36829	21143	1795,8550
2018-06-06	chel.74.ru	5298	3355	284,8500
2018-06-06	afisha.v1.ru	2	0	0,0000
2018-06-06	afisha.ufa1.ru	3	1	0,0850
2018-06-06	afisha.76.ru	3	2	0,1700
2018-06-06	afisha.74.ru	52	18	1,5300
2018-06-06	afisha.72.ru	2	0	0,0000
2018-06-06	afisha.63.ru	18	7	0,5950
2018-06-06	afisha.59.ru	5	1	0,0850
2018-06-06	afisha.29.ru	4	1	0,0850
2018-06-06	afisha.161.ru	3	1	0,0850
2018-06-06	76.ru	24346	11584	984,5750
2018-06-06	74.ru	3	0	0,0000
2018-06-06	72.ru.sychev.dev.rugion.ru	6	2	0,1700
2018-06-06	72.ru	24692	13322	1131,5250
2018-06-06	63.ru	28647	14342	1211,1400
2018-06-06	59.ru	15190	7730	656,2050
2018-06-06	29.ru	3638	1692	143,7550
2018-06-06	161.ru	9227	4590	389,8900
2018-06-06	0s.o53xo.nzxc44tv.cmle.ru	3	1	0,0850
2018-06-06	0s.o53xo.muys44tv.nblu.ru	4	2	0,1700
2018-06-06	0s.o53xo.muys44tv.cmle.ru	11	8	0,6800
2018-06-07	Не определен	58	5	0,4250
2018-06-07	zen.yandex.com	14	4	0,3400
2018-06-07	www.nn.ru	19275	8379	711,8900
2018-06-07	www.google.ru	10	0	0,0000
2018-06-07	www.google.com	1	0	0,0000
2018-06-07	www.e1.ru	199422	88838	7543,1700
2018-06-07	video.market-place.su	13	0	0,0000
2018-06-07	v1.ru	15035	6961	591,4250
2018-06-07	ufa1.ru	13051	6791	575,8700
2018-06-07	transport.ufa1.ru	1	0	0,0000
2018-06-07	translate.google.com	7	4	0,3400
2018-06-07	nnnovosti.ru	15	5	0,4250
2018-06-07	ngs55.ru	5624	2818	237,9050
2018-06-07	ngs24.ru	25484	10733	911,7200
2018-06-07	news.ngs.ru.k.t1	16	7	0,5950
2018-06-07	news.ngs.ru	92132	37237	3161,7000
2018-06-07	firefox.yandex.ru	1	0	0,0000
2018-06-07	domchel.ru	1	0	0,0000
2018-06-07	doctor.ufa1.ru	4	1	0,0850
2018-06-07	doctor.74.ru	234	106	8,8150
2018-06-07	doctor.59.ru	7	3	0,2550
2018-06-07	doctor.161.ru	1	0	0,0000
2018-06-07	diplom.74.ru	2122	1349	114,3400
2018-06-07	diplom.161.ru	20	5	0,4250
2018-06-07	dengi.v1.ru	6	2	0,1700
2018-06-07	dengi.ufa1.ru	7	2	0,1700
2018-06-07	dengi.76.ru	2	1	0,0850
2018-06-07	dengi.72.ru	5	0	0,0000
2018-06-07	dengi.63.ru	12	1	0,0850
2018-06-07	dengi.59.ru	20	6	0,5100
2018-06-07	dengi.29.ru	2	1	0,0850
2018-06-07	dengi.161.ru	11	2	0,1700
2018-06-07	chelyabinsk.74.ru.test.dev.rugion.ru	91	0	0,0000
2018-06-07	chelyabinsk.74.ru	46488	25261	2145,5600
2018-06-07	chel.74.ru	3131	1873	158,7500
2018-06-07	afisha.v1.ru	4	1	0,0850
2018-06-07	afisha.ufa1.ru	3	1	0,0850
2018-06-07	afisha.76.ru	8	0	0,0000
2018-06-07	afisha.74.ru	31	15	1,2100
2018-06-07	afisha.72.ru	2	1	0,0850
2018-06-07	afisha.63.ru	4	0	0,0000
2018-06-07	afisha.59.ru	9	4	0,3400
2018-06-07	afisha.29.ru	1	0	0,0000
2018-06-07	afisha.161.ru	6	1	0,0850
2018-06-07	adguard.com	1	0	0,0000
2018-06-07	76.ru	20808	9257	786,7800
2018-06-07	74.ru	1	0	0,0000
2018-06-07	72.ru	26733	13226	1123,3000
2018-06-07	63.ru	24142	11338	956,9700
2018-06-07	59.ru	14489	6978	592,4800
2018-06-07	29.ru	3387	1409	119,6350
2018-06-07	161.ru	10058	4137	351,5800
2018-06-07	0s.o53xo.muys44tv.cmle.ru	12	10	0,8500
2018-06-07	0s.nzsxo4y.nztxgltsou.erenta.ru	3	3	0,2550
2018-06-08	Не определен	49	10	0,8500
2018-06-08	zen.yandex.com	45	21	1,7850
2018-06-08	www.nn.ru.omen.d	3	2	0,1700
2018-06-08	www.nn.ru.mn.d	6	0	0,0000
2018-06-08	www.nn.ru	17507	7656	650,3050
2018-06-08	www.google.ru	5	0	0,0000
2018-06-08	www.e1.ru	215290	94183	7992,7500
2018-06-08	video.market-place.su	11	0	0,0000
2018-06-08	v1.ru	20077	10466	888,7650
2018-06-08	ufa1.ru	4277	1657	140,7150
2018-06-08	transport.ufa1.ru	1	0	0,0000
2018-06-08	transport.74.ru	16	10	0,8500
2018-06-08	translate.google.com	1	1	0,0850
2018-06-08	nnnovosti.ru	10	6	0,5100
2018-06-08	ngs55.ru.omen.d	1	0	0,0000
2018-06-08	ngs55.ru.n.t1	1	0	0,0000
2018-06-08	ngs55.ru	10923	5239	443,7550
2018-06-08	ngs24.ru.omen.d	1	0	0,0000
2018-06-08	ngs24.ru	22989	10460	888,6450
2018-06-08	news.ngs.ru.omen.d	17	9	0,7650
2018-06-08	news.ngs.ru.k.t1	2	0	0,0000
2018-06-08	news.ngs.ru	94109	34929	2966,3650
2018-06-08	hghltd.yandex.net	3	1	0,0850
2018-06-08	doctor.ufa1.ru	7	3	0,2550
2018-06-08	doctor.74.ru	269	163	13,8550
2018-06-08	doctor.59.ru	3	1	0,0850
2018-06-08	doctor.161.ru	3	1	0,0850
2018-06-08	diplom.74.ru	304	165	14,0250
2018-06-08	diplom.161.ru	12	5	0,4250
2018-06-08	dengi.v1.ru	21	10	0,8500
2018-06-08	dengi.ufa1.ru	2	1	0,0850
2018-06-08	dengi.76.ru	9	2	0,1700
2018-06-08	dengi.72.ru	4	1	0,0850
2018-06-08	dengi.63.ru	10	4	0,3400
2018-06-08	dengi.59.ru	14	1	0,0850
2018-06-08	dengi.29.ru	2	0	0,0000
2018-06-08	dengi.161.ru	12	3	0,2550
2018-06-08	chelyabinsk.74.ru.test.dev.rugion.ru	23	0	0,0000
2018-06-08	chelyabinsk.74.ru	22064	12493	1060,9950
2018-06-08	chel.74.ru	847	470	39,8850
2018-06-08	afisha.v1.ru	4	3	0,2550
2018-06-08	afisha.76.ru	2	1	0,0850
2018-06-08	afisha.74.ru	23	10	0,8500
2018-06-08	afisha.72.ru	6	2	0,1700
2018-06-08	afisha.63.ru	5	2	0,1700
2018-06-08	afisha.59.ru	16	7	0,5950
2018-06-08	afisha.161.ru	3	1	0,0850
2018-06-08	76.ru	19887	8727	741,6000
2018-06-08	74.ru	3	1	0,0850
2018-06-08	72.ru	24418	12365	1050,3100
2018-06-08	63.ru.kolmikov.dev.rugion.ru	3	1	0,0850
2018-06-08	63.ru	22535	10330	871,6150
2018-06-08	59.ru	16076	8344	708,0700
2018-06-08	29.ru	4092	1583	134,5550
2018-06-08	161.ru	10757	4753	403,6800
2018-06-08	0s.o53xo.nzxc44tv.cmle.ru	2	2	0,1700
2018-06-08	0s.o53xo.muys44tv.cmle.ru	7	7	0,5950
2018-06-08	0s.nzsxo4y.nztxgltsou.cmle.ru	1	0	0,0000
2018-06-08	0s.g43c44tv.nblu.ru	1	1	0,0850
2018-06-09	Не определен	28	4	0,3400
2018-06-09	zen.yandex.com	41	21	1,7850
2018-06-09	www.nn.ru.omen.d	2	0	0,0000
2018-06-09	www.nn.ru	8938	4652	395,2900
2018-06-09	www.google.ru	4	0	0,0000
2018-06-09	www.e1.ru	156569	78909	6699,5300
2018-06-09	video.market-place.su	9	3	0,2550
2018-06-09	v1.ru	15510	8765	744,5050
2018-06-09	ufa1.ru	5596	2514	213,4950
2018-06-09	transport.ufa1.ru	1	0	0,0000
2018-06-09	transport.74.ru	1	0	0,0000
2018-06-09	translate.google.com	4	0	0,0000
2018-06-09	nnnovosti.ru	7	7	0,5950
2018-06-09	ngs55.ru.omen.d	1	0	0,0000
2018-06-09	ngs55.ru.k.t1	1	0	0,0000
2018-06-09	ngs55.ru	77602	37338	3169,8300
2018-06-09	ngs24.ru	24590	13059	1109,7550
2018-06-09	news.ngs.ru.omen.d	29	17	1,4450
2018-06-09	news.ngs.ru.k.t1	1	1	0,0850
2018-06-09	news.ngs.ru.ab.t1	4	4	0,3400
2018-06-09	news.ngs.ru	60663	28719	2439,4250
2018-06-09	login.mlg.ru	3	1	0,0850
2018-06-09	doctor.ufa1.ru	2	2	0,1700
2018-06-09	doctor.74.ru	403	274	23,2900
2018-06-09	doctor.59.ru	9	4	0,3400
2018-06-09	doctor.161.ru	3	2	0,1700
2018-06-09	diplom.74.ru	389	261	22,1200
2018-06-09	diplom.161.ru	11	2	0,1700
2018-06-09	dengi.v1.ru	5	0	0,0000
2018-06-09	dengi.76.ru	6	0	0,0000
2018-06-09	dengi.72.ru	4	3	0,2550
2018-06-09	dengi.63.ru	13	3	0,2550
2018-06-09	dengi.59.ru	10	4	0,3400
2018-06-09	dengi.29.ru	2	1	0,0850
2018-06-09	dengi.161.ru	15	5	0,4250
2018-06-09	chelyabinsk.74.ru.test.dev.rugion.ru	10	0	0,0000
2018-06-09	chelyabinsk.74.ru	17083	10673	906,8150
2018-06-09	chel.74.ru	966	616	52,1650
2018-06-09	afisha.ufa1.ru	1	0	0,0000
2018-06-09	afisha.76.ru	2	1	0,0850
2018-06-09	afisha.74.ru	114	79	6,7150
2018-06-09	afisha.72.ru	1	1	0,0850
2018-06-09	afisha.63.ru	5	2	0,1700
2018-06-09	afisha.59.ru	7	3	0,2550
2018-06-09	afisha.29.ru	2	1	0,0850
2018-06-09	afisha.161.ru	7	3	0,2550
2018-06-09	76.ru	16901	7995	679,5100
2018-06-09	74.ru	1	0	0,0000
2018-06-09	72.ru	25658	15554	1321,3100
2018-06-09	63.ru.test.dev.rugion.ru	1	0	0,0000
2018-06-09	63.ru	17339	8730	736,7850
2018-06-09	59.ru	10268	5638	478,8400
2018-06-09	29.ru	3678	1607	136,4000
2018-06-09	161.ru	14314	7516	638,2100
2018-06-09	0s.o53xo.nzxc44tv.cmle.ru	3	3	0,2550
2018-06-09	0s.o53xo.muys44tv.cmle.ru	26	20	1,7000
2018-06-10	Не определен	15	2	0,1700
2018-06-10	zen.yandex.com	19	11	0,9350
2018-06-10	www.nn.ru	4136	2164	183,8750
2018-06-10	www.google.ru	8	0	0,0000
2018-06-10	www.google.com	1	0	0,0000
2018-06-10	www.e1.ru	38649	19372	1644,6050
2018-06-10	v1.ru	7020	3947	335,2350
2018-06-10	ufa1.ru	1854	867	73,6950
2018-06-10	transport.ufa1.ru	1	0	0,0000
2018-06-10	ngs55.ru	12360	6345	535,4900
2018-06-10	ngs24.ru	8346	4196	356,5300
2018-06-10	news.ngs.ru	10402	4161	353,2300
2018-06-10	doctor.ufa1.ru	1	1	0,0850
2018-06-10	doctor.74.ru	48	22	1,8700
2018-06-10	doctor.59.ru	3	2	0,1700
2018-06-10	diplom.74.ru	172	110	9,3500
2018-06-10	diplom.161.ru	7	2	0,1700
2018-06-10	dengi.v1.ru	3	0	0,0000
