Дата	Домен	Загрузки	Показы	Сумма
2018-11-01	yang.yandex-team.ru	1	1	0,12
2018-11-01	doctor.74.ru	27	17	1,95
2018-11-01	diplom.74.ru	34	19	2,28
2018-11-01	chelyabinsk.74.ru	311	140	16,53
2018-11-01	chel.74.ru	63	34	3,99
2018-11-01	afisha.74.ru	7	3	0,36
2018-11-01	74.ru	34447	20789	2490,72
2018-11-02	pr.mlg.ru	1	1	0,12
2018-11-02	doctor.74.ru	13	8	0,87
2018-11-02	diplom.74.ru	18	10	1,11
2018-11-02	chelyabinsk.74.ru	177	111	13,32
2018-11-02	chel.74.ru	31	22	2,55
2018-11-02	afisha.74.ru	10	7	0,84
2018-11-02	74.ru.test.dev.rugion.ru	1	1	0,12
2018-11-02	74.ru	16857	12316	1474,50
2018-11-03	yang.yandex-team.ru	0	0	0,00
2018-11-03	pr.mlg.ru	0	0	0,00
2018-11-03	estate.lowpricemall.ru	1	0	0,03
2018-11-03	doctor.74.ru	10	6	0,64
2018-11-03	diplom.74.ru	11	5	0,63
2018-11-03	chelyabinsk.74.ru	93	43	5,08
2018-11-03	chel.74.ru	22	13	1,52
2018-11-03	afisha.74.ru	2	1	0,13
2018-11-03	74.ru.test.dev.rugion.ru	1	1	0,13
2018-11-03	74.ru.sychev.dev.rugion.ru	1	1	0,06
2018-11-03	74.ru	7559	5180	618,58
2018-11-04	yang.yandex-team.ru	0	0	0,00
2018-11-04	pr.mlg.ru	0	0	0,00
2018-11-04	estate.lowpricemall.ru	0	0	0,03
2018-11-04	doctor.74.ru	8	5	0,56
2018-11-04	diplom.74.ru	10	5	0,56
2018-11-04	chelyabinsk.74.ru	80	38	4,47
2018-11-04	chel.74.ru	18	12	1,33
2018-11-04	afisha.74.ru	1	1	0,11
2018-11-04	74.ru.test.dev.rugion.ru	1	1	0,11
2018-11-04	74.ru.sychev.dev.rugion.ru	0	0	0,06
2018-11-04	74.ru	6537	4561	545,03
2018-11-05	yang.yandex-team.ru	1	1	0,12
2018-11-05	doctor.74.ru	13	6	0,63
2018-11-05	diplom.74.ru	16	9	1,08
2018-11-05	chelyabinsk.74.ru	155	86	10,34
2018-11-05	chel.74.ru	47	29	3,40
2018-11-05	afisha.74.ru	5	2	0,24
2018-11-05	74.ru	8771	5882	700,11
