Дата	Домен	Загрузки	Показы	Сумма
2018-12-22	yang.yandex-team.ru	3	2	0,24
2018-12-22	www.nn.ru	12366	8255	990,50
2018-12-22	www.e1.ru	92764	38316	4597,72
2018-12-22	webcache.googleusercontent.com	2	0	0,00
2018-12-22	v1.ru	1056	667	80,04
2018-12-22	ufa1.ru	977	453	54,16
2018-12-22	turizm.ngs.ru	112	39	4,68
2018-12-22	turizm.ngs70.ru	2	0	0,00
2018-12-22	turizm.ngs42.ru	1	0	0,00
2018-12-22	turizm.ngs24.ru	2	1	0,12
2018-12-22	sp.ngs.ru	130	52	6,24
2018-12-22	she.ngs.ru	507	145	16,90
2018-12-22	she.ngs70.ru	6	0	0,00
2018-12-22	she.ngs55.ru	4	1	0,12
2018-12-22	she.ngs42.ru	2	0	0,00
2018-12-22	she.ngs38.ru	1	0	0,00
2018-12-22	she.ngs24.ru	8	2	0,24
2018-12-22	she.ngs22.ru	1	0	0,00
2018-12-22	realty.ngs.ru	472	168	20,06
2018-12-22	pr.mlg.ru	5	5	0,60
2018-12-22	pogoda.e1.ru	308	138	16,56
2018-12-22	pogoda.72.ru	366	197	23,64
2018-12-22	okna.ngs.ru	5	3	0,36
2018-12-22	nsk.zarplata.ru	301	73	8,76
2018-12-22	nnnovosti.ru	3	3	0,36
2018-12-22	ngs.ru.tipto.p	1	1	0,12
2018-12-22	ngs.ru	1958	1198	143,66
2018-12-22	ngs55.ru	643	279	33,18
2018-12-22	ngs24.ru	1585	1206	144,62
2018-12-22	news.ngs.ru	1699	1137	136,34
2018-12-22	mebel.ngs.ru	8	3	0,36
2018-12-22	localhost	34	6	0,72
2018-12-22	hghltd.yandex.net	1	1	0,12
2018-12-22	forum.samara24.ru	20	5	0,60
2018-12-22	forum.prm.ru	11	2	0,24
2018-12-22	forum.ngs.ru	2980	693	81,16
2018-12-22	forum.ngs70.ru	4	1	0,12
2018-12-22	forum.ngs55.ru	26	8	0,96
2018-12-22	forum.ngs42.ru	11	3	0,36
2018-12-22	forum.ngs38.ru	3	1	0,12
2018-12-22	forum.ngs24.ru	76	14	1,68
2018-12-22	forum.ngs23.ru	7	1	0,12
2018-12-22	forum.ngs22.ru	13	3	0,36
2018-12-22	dveri.ngs.ru	4	2	0,24
2018-12-22	dom.ngs.ru	310	133	15,66
2018-12-22	dom.ngs24.ru	3	3	0,36
2018-12-22	business.ngs.ru	372	145	17,30
2018-12-22	afisha.ngs.ru	624	243	28,96
2018-12-22	afisha.ngs24.ru	2	0	0,00
2018-12-22	76.ru	1145	499	58,88
2018-12-22	72.ru	21297	14417	1729,14
2018-12-22	63.ru	9994	7405	888,20
2018-12-22	59.ru	1629	1363	163,46
2018-12-22	161.ru	1201	589	70,48
2018-12-22	0s.o53xo.muys44tv.cmle.ru	4	3	0,36
