Дата	Домен	Загрузки	Показы	Сумма
2018-08-13	Не определен	296	43	5,1600
2018-08-13	zen.yandex.com	16	9	0,9800
2018-08-13	www.nn.ru	65	30	3,6000
2018-08-13	www.google.ru	2	0	0,0000
2018-08-13	www.e1.ru	13002	5145	616,3000
2018-08-13	video.market-place.su	2	1	0,1200
2018-08-13	v1.ru	7212	4104	489,1800
2018-08-13	ufa1.ru	3106	1396	165,5200
2018-08-13	ngs55.ru	619	288	32,9600
2018-08-13	ngs24.ru.omen.d	4	3	0,3600
2018-08-13	ngs24.ru	3795	1379	164,9800
2018-08-13	news.ngs.ru.omen.d	1	0	0,0000
2018-08-13	news.ngs.ru	44682	19391	2315,9200
2018-08-13	m.facebook.com	1	0	0,0000
2018-08-13	doctor.ufa1.ru	2	0	0,0000
2018-08-13	doctor.59.ru	8	3	0,3600
2018-08-13	doctor.161.ru	2	2	0,2400
2018-08-13	dengi.ufa1.ru	2	1	0,1200
2018-08-13	dengi.76.ru	7	4	0,3800
2018-08-13	dengi.72.ru	3	1	0,1200
2018-08-13	dengi.63.ru	2	1	0,1200
2018-08-13	dengi.59.ru	6	4	0,0800
2018-08-13	dengi.161.ru	5	2	0,2400
2018-08-13	afisha.v1.ru	1	0	0,0000
2018-08-13	afisha.76.ru	1	1	0,1200
2018-08-13	afisha.72.ru	26	12	1,4400
2018-08-13	afisha.59.ru	3	2	0,2400
2018-08-13	afisha.29.ru	7	4	0,4800
2018-08-13	afisha.161.ru	3	1	0,1200
2018-08-13	76.ru	4804	2020	242,2000
2018-08-13	72.ru	4033	2004	237,4800
2018-08-13	63.ru	6335	3398	402,6600
2018-08-13	59.ru	2059	957	113,0400
2018-08-13	29.ru	1007	454	54,2800
2018-08-13	161.ru	1655	703	83,6600
