Дата	Домен	Загрузки	Показы	Сумма
2018-10-01	Не определен	14	5	0
2018-10-01	zen.yandex.com	7	5	0
2018-10-01	www.nn.ru	175	87	0
2018-10-01	www.google.ru	5	0	0
2018-10-01	www.google.com	1	0	0
2018-10-01	www.e1.ru	94397	53798	0
2018-10-01	v1.ru	7493	4767	0
2018-10-01	ufa1.ru	1930	1077	0
2018-10-01	translate.google.com	1	1	0
2018-10-01	pogoda.72.ru	1046	425	0
2018-10-01	ngs55.ru	2	0	0
2018-10-01	ngs24.ru	1	1	0
2018-10-01	news.ngs.ru	35	14	0
2018-10-01	doctor.ufa1.ru	3	2	0
2018-10-01	doctor.59.ru	3	1	0
2018-10-01	doctor.161.ru	2	2	0
2018-10-01	diplom.161.ru	2	2	0
2018-10-01	dengi.ufa1.ru	2	1	0
2018-10-01	dengi.76.ru	2	1	0
2018-10-01	dengi.72.ru	3	2	0
2018-10-01	dengi.63.ru	4	3	0
2018-10-01	dengi.59.ru	1	1	0
2018-10-01	dengi.161.ru	1	1	0
2018-10-01	afisha.v1.ru	1	0	0
2018-10-01	afisha.ufa1.ru	2	1	0
2018-10-01	afisha.72.ru	1	1	0
2018-10-01	afisha.59.ru	4	2	0
2018-10-01	76.ru	7938	4403	0
2018-10-01	72.ru	8284	5209	0
2018-10-01	63.ru	5762	3497	0
2018-10-01	59.ru	11061	7607	0
2018-10-01	29.ru	1381	828	0
2018-10-01	161.ru	2310	1299	0
2018-10-01	0s.o53xo.muys44tv.cmle.ru	15	7	0
2018-10-02	Не определен	10	3	0
2018-10-02	zen.yandex.com	25	15	0
2018-10-02	www.nn.ru	166	88	0
2018-10-02	www.e1.ru	113829	67907	0
2018-10-02	v1.ru	5469	3479	0
2018-10-02	ufa1.ru	1658	924	0
2018-10-02	translate.google.com	1	1	0
2018-10-02	pr.mlg.ru	4	1	0
2018-10-02	pogoda.72.ru	1004	502	0
2018-10-02	ngs55.ru	2	0	0
2018-10-02	ngs24.ru	1	1	0
2018-10-02	news.ngs.ru	43	18	0
2018-10-02	doctor.59.ru	14	3	0
2018-10-02	diplom.161.ru	4	4	0
2018-10-02	dengi.v1.ru	2	2	0
2018-10-02	dengi.72.ru	24	13	0
2018-10-02	dengi.59.ru	12	6	0
2018-10-02	dengi.161.ru	5	2	0
2018-10-02	afisha.v1.ru	1	1	0
2018-10-02	afisha.59.ru	6	1	0
2018-10-02	afisha.29.ru	1	1	0
2018-10-02	afisha.161.ru	2	2	0
2018-10-02	76.ru	11343	7103	0
2018-10-02	72.ru	8098	5178	0
2018-10-02	63.ru	5577	3321	0
2018-10-02	59.ru	30406	20621	0
2018-10-02	29.ru	1565	944	0
2018-10-02	161.ru	2151	1248	0
2018-10-02	0s.o53xo.muys44tv.cmle.ru	2	2	0
2018-10-02	0s.g43c44tv.nblu.ru	1	0	0
2018-10-03	Не определен	8	3	0
2018-10-03	zen.yandex.com	12	1	0
2018-10-03	www.nn.ru	181	91	0
2018-10-03	www.google.ru	1	0	0
2018-10-03	www.e1.ru	97746	56651	0
2018-10-03	video.market-place.su	1	1	0
2018-10-03	v1.ru	2905	1578	0
2018-10-03	ufa1.ru	2301	1292	0
2018-10-03	translate.google.com	1	1	0
2018-10-03	pogoda.72.ru	896	427	0
2018-10-03	ngs55.ru	1	0	0
2018-10-03	news.ngs.ru	47	28	0
2018-10-03	doctor.59.ru	14	6	0
2018-10-03	diplom.161.ru	2	1	0
2018-10-03	dengi.v1.ru	1	1	0
2018-10-03	dengi.ufa1.ru	1	1	0
2018-10-03	dengi.76.ru	2	0	0
2018-10-03	dengi.72.ru	26	19	0
2018-10-03	dengi.63.ru	2	1	0
2018-10-03	dengi.59.ru	13	8	0
2018-10-03	dengi.161.ru	1	1	0
2018-10-03	afisha.72.ru	3	1	0
2018-10-03	afisha.59.ru	2	1	0
2018-10-03	76.ru	6010	3455	0
2018-10-03	72.ru	7159	4352	0
2018-10-03	63.ru	4156	2434	0
2018-10-03	59.ru	16288	10044	0
2018-10-03	29.ru	1053	619	0
2018-10-03	161.ru	2169	1278	0
2018-10-03	0s.o53xo.muys44tv.cmle.ru	4	4	0
2018-10-04	Не определен	17	0	0
2018-10-04	zen.yandex.com	16	5	0
2018-10-04	www.nn.ru	198	103	0
2018-10-04	www.google.ru	5	0	0
2018-10-04	www.e1.ru	117562	68033	0
2018-10-04	www.dni.ru	1	0	0
2018-10-04	v1.ru	5732	3486	0
2018-10-04	ufa1.ru	1867	1023	0
2018-10-04	pogoda.72.ru	905	449	0
2018-10-04	news.ngs.ru	58	38	0
2018-10-04	m.ok.ru	1	0	0
2018-10-04	doctor.59.ru	16	7	0
2018-10-04	dengi.76.ru	1	0	0
2018-10-04	dengi.72.ru	6	2	0
2018-10-04	dengi.63.ru	1	0	0
2018-10-04	dengi.59.ru	7	5	0
2018-10-04	afisha.v1.ru	1	1	0
2018-10-04	afisha.ufa1.ru	5	3	0
2018-10-04	afisha.72.ru	1	0	0
2018-10-04	afisha.59.ru	7	3	0
2018-10-04	afisha.161.ru	1	1	0
2018-10-04	76.ru	4803	2631	0
2018-10-04	72.ru	6630	4123	0
2018-10-04	63.ru	7891	4749	0
2018-10-04	59.ru	14140	8897	0
2018-10-04	29.ru	864	443	0
2018-10-04	161.ru	2322	1256	0
2018-10-04	0s.o53xo.muys44tv.cmle.ru	9	8	0
2018-10-05	Не определен	13	3	0
2018-10-05	zen.yandex.com	24	14	0
2018-10-05	www.nn.ru	121	62	0
2018-10-05	www.google.ru	3	0	0
2018-10-05	www.e1.ru	128053	80601	0
2018-10-05	video.market-place.su	2	1	0
2018-10-05	v1.ru	6639	4282	0
2018-10-05	ufa1.ru	2198	1242	0
2018-10-05	pogoda.72.ru	994	533	0
2018-10-05	ngs55.ru.b.t1	2	1	0
2018-10-05	ngs55.ru	228	138	0
2018-10-05	ngs24.ru	780	289	0
2018-10-05	news.ngs.ru	82	42	0
2018-10-05	localhost:9000	3	3	0
2018-10-05	jtnews.ngs.ru	1	0	0
2018-10-05	hghltd.yandex.net	2	1	0
2018-10-05	doctor.59.ru	18	4	0
2018-10-05	doctor.161.ru	1	0	0
2018-10-05	dengi.v1.ru	3	1	0
2018-10-05	dengi.ufa1.ru	2	2	0
2018-10-05	dengi.76.ru	1	1	0
2018-10-05	dengi.72.ru	7	4	0
2018-10-05	dengi.63.ru	1	1	0
2018-10-05	dengi.59.ru	13	7	0
2018-10-05	dengi.161.ru	4	0	0
2018-10-05	afisha.v1.ru	1	1	0
2018-10-05	afisha.ufa1.ru	1	0	0
2018-10-05	afisha.72.ru	3	1	0
2018-10-05	afisha.59.ru	1	0	0
2018-10-05	76.ru	6353	3982	0
2018-10-05	72.ru	9508	6333	0
