Дата	Домен	Загрузки	Показы	Сумма
2018-09-12	zen.yandex.com	17	1	0,15
2018-09-12	www.woman.ru	764	311	46,65
2018-09-12	www.wday.ru	177	71	10,65
2018-09-12	www.vokrugsveta.ru	14	4	0,60
2018-09-12	www.starhit.ru	3686	1243	186,45
2018-09-12	www.psychologies.ru	135	59	8,85
2018-09-12	www.maximonline.ru	156	48	7,20
2018-09-12	www.google.ru	4	0	0,00
2018-09-12	www.google.com	1	0	0,00
2018-09-12	www.ellegirl.ru	10223	3465	519,75
2018-09-13	Не определен	1	1	0,15
2018-09-13	zen.yandex.com	32	3	0,45
2018-09-13	www.woman.ru	1499	574	85,97
2018-09-13	www.wday.ru	512	206	30,77
2018-09-13	www.vokrugsveta.ru	25	11	1,65
2018-09-13	www.starhit.ru	7737	2950	442,24
2018-09-13	www.psychologies.ru	299	103	15,45
2018-09-13	www.maximonline.ru	285	122	18,30
2018-09-13	www.google.ru	3	0	0,00
2018-09-13	www.google.com	1	0	0,00
2018-09-13	www.ellegirl.ru	20091	7453	1116,13
2018-09-13	webcache.googleusercontent.com	1	1	0,15
2018-09-14	Не определен	1	0	0,00
2018-09-14	zen.yandex.com	48	0	0,00
2018-09-14	www.woman.ru	1251	580	86,61
2018-09-14	www.wday.ru	369	194	28,71
2018-09-14	www.vokrugsveta.ru	191	86	12,90
2018-09-14	www.starhit.ru	6754	3139	469,94
2018-09-14	www.psychologies.ru	268	130	19,50
2018-09-14	www.maximonline.ru	272	134	19,97
2018-09-14	www.google.ru	1	0	0,00
2018-09-14	www.google.com	2	0	0,00
2018-09-14	www.ellegirl.ru	19604	7712	1154,72
2018-09-14	m.woman.ru	2	0	0,00
2018-09-14	hghltd.yandex.net	1	1	0,15
2018-09-15	zen.yandex.com	36	1	0,15
2018-09-15	www.woman.ru	1164	506	75,64
2018-09-15	www.wday.ru	300	139	20,33
2018-09-15	www.vokrugsveta.ru	6	4	0,47
2018-09-15	www.starhit.ru	4759	2037	304,77
2018-09-15	www.psychologies.ru	276	155	23,25
2018-09-15	www.maximonline.ru	202	79	11,85
